CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"0943375",1,"2","F",59,"0","6","G","-","0"
"0943375",1,"2","F",66,"0","4","G","-","0"
"0943375",1,"2","M",60,"0","3","G","-","0"
"0958803",1,"1","M",19,"3","1","G","-","0"
"0958803",1,"2","M",45,"3","3","G","-","0"
"0958803",2,"1","M",38,"4","1","G","-","0"
"0958803",2,"2","M",9,"4","4","G","-","0"
"0958803",2,"2","M",41,"4","5","G","-","0"
"0958803",2,"2","M",21,"4","3","G","-","0"
"0958803",2,"2","M",17,"4","8","G","-","0"
"0958803",3,"2","M",27,"0","3","G","-","0"
"0958803",3,"2","M",28,"0","6","G","-","0"
"0959250",1,"1","F",18,"3","1","G","-","0"
"0960948",1,"2","M",47,"0","3","G","-","0"
"0960948",1,"2","M",18,"0","4","G","-","0"
"0960948",1,"2","M",19,"0","6","G","-","0"
"0960948",1,"2","F",47,"0","5","G","-","0"
"0960948",2,"2","M",4,"0","4","Q","-","0"
"0969512",1,"2","M",47,"0","3","G","-","0"
"0985867",1,"1","M",40,"3","1","L","-","0"
"0985867",2,"1","F",22,"4","1","L","-","0"
"0993335",3,"1","M",38,"4","1","G","-","0"
"1028281",1,"2","M",21,"0","3","G","-","0"
"1032311",1,"2","F",47,"0","3","G","-","0"
"1032311",2,"2","F",40,"0","3","G","-","0"
"1032311",2,"2","M",14,"0","6","G","-","0"
"1042597",2,"1","M",19,"4","1","G","-","0"
"1048574",1,"2","M",31,"0","3","G","-","0"
"1048652",1,"1","F",27,"4","1","G","-","0"
"1048684",2,"2","F",6,"0","6","G","-","0"
"1049408",1,"1","F",38,"4","1","G","-","0"
"1061769",1,"2","M",21,"0","3","G","-","0"
"1063264",3,"2","F",34,"0","6","H","-","0"
"1064572",1,"1","M",21,"3","1","L","-","0"
"1071637",2,"1","F",33,"4","1","G","-","0"
"1071637",4,"2","M",6,"4","5","Q","-","0"
"1071673",2,"2","M",23,"0","3","G","-","0"
"1071758",3,"1","F",30,"4","1","G","-","3"
"1071758",3,"2","F",31,"4","3","G","-","0"
"1073212",1,"1","M",19,"3","1","G","-","0"
"1092252",1,"1","F",26,"3","1","G","-","0"
"1092252",1,"2","F",29,"4","3","G","-","0"
"1096609",1,"1","F",22,"4","1","G","-","0"
"1109935",2,"2","M",23,"0","3","G","-","0"
"1125051",2,"2","F",0,"0","4","S","-","0"
"1125051",2,"2","F",7,"0","6","G","-","0"
"1125051",2,"2","F",11,"0","5","C","-","0"
"1126046",2,"1","F",56,"3","1","W","-","1"
"1127782",1,"1","F",49,"4","1","G","-","0"
"1127782",2,"1","M",40,"4","1","G","-","0"
"1132698",1,"2","M",21,"0","3","G","-","0"
"1159320",1,"1","M",38,"3","1","W","-","1"
"1161288",1,"1","M",57,"4","1","P","G","0"
"1161288",2,"2","M",31,"0","3","P","G","0"
